2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:21,930 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 14:37:26,069 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 15:53:22,475 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 15:53:22,476 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 15:53:26,583 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 15:53:30,686 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:01:48,605 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 16:01:48,606 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 16:01:52,715 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:01:56,818 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:02:02,907 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:02:06,995 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:02:09,038 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'Could not create an instance of type DataServer.Points.ITag. Type is an interface or abstract class and cannot be instantiated. Path '[0].Name'.'!  
2024-11-11 16:03:18,110 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 16:03:18,111 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'发生了内部 WebSocket 错误。有关详细信息，请参见 InnerException (如果存在)。'!  
2024-11-11 16:03:26,243 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:03:26,289 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:03:32,364 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:03:32,394 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:03:38,452 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:03:38,482 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:03:44,574 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'无法连接到远程服务器'!  
2024-11-11 16:03:44,590 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'无法连接到远程服务器'!  
2024-11-11 16:03:48,132 ERROR GuiBaseLogger AlarmService: Connect to http://localhost:3051/ error,'Couldn't reconnect within the configured timeout of 00:00:30, disconnecting.'!  
2024-11-11 16:03:48,132 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ error'Couldn't reconnect within the configured timeout of 00:00:30, disconnecting.'!  
2024-11-11 16:04:02,282 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 16:04:02,287 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 16:04:16,397 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 16:04:16,403 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 16:04:30,419 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 16:04:30,466 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 16:04:44,525 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
2024-11-11 16:04:44,549 ERROR GuiBaseLogger SignalService: Connect to http://localhost:3051/ fail,发生一个或多个错误。!  
2024-11-11 16:04:58,632 ERROR GuiBaseLogger AlarmService: Stop connecting to http://localhost:3051/ error,'发生一个或多个错误。'!  
