2024-11-10 00:30:32,116 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 00:30:32,242 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 00:30:32,371 INFO  DataLinksLogger FreedomServer connect information,ReceiveAsync Start,ID:0 , IPAdderss:127.0.0.1:56063  
2024-11-10 00:30:33,209 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId '66ab104e-9ee5-4f7f-a141-e66991a7a00d',HubName 'Alarm'  
2024-11-10 00:30:33,683 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId 'ed4c3acc-4664-494a-9a41-fa98abcad63a',HubName 'Signals'  
2024-11-10 12:02:14,657 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 12:02:14,671 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 12:02:14,671 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 12:02:14,682 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 12:02:14,682 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 12:02:14,682 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 12:02:14,682 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 12:02:14,682 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 12:02:14,682 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 12:02:14,682 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 12:02:14,682 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 12:02:14,682 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 12:02:16,740 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 12:02:16,740 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 12:02:16,741 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 12:02:16,741 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 12:02:16,741 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 12:02:16,741 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 12:02:16,742 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 12:02:16,742 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 12:02:16,742 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 12:02:16,895 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 12:02:42,508 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 12:02:42,526 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 12:02:42,526 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 12:02:42,730 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 12:02:42,730 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 12:02:42,730 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 12:02:42,730 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 12:02:42,730 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 12:02:42,733 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 12:02:42,733 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 12:02:42,733 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 12:02:42,733 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 12:02:44,775 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 12:02:44,775 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 12:02:44,776 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 12:02:44,776 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 12:02:44,776 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 12:02:44,776 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 12:02:44,777 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 12:02:44,777 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 12:02:44,777 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 12:02:44,902 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 12:02:45,936 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId 'a176d6b2-4960-4a6d-ac01-801111700b38',HubName 'Alarm'  
2024-11-10 12:02:46,368 INFO  DataLinksLogger SignalServer: Client have Connected ,ConnectId 'de06f2a7-bd5a-4ec7-bd97-f9ad28f94554',HubName 'Signals'  
2024-11-10 12:02:47,392 INFO  DataLinksLogger FreedomServer connect information,ReceiveAsync Start,ID:0 , IPAdderss:127.0.0.1:60062  
2024-11-10 12:06:02,738 INFO  DataLinksLogger FreedomServer Disconnect information,ID:0 , IPAdderss:127.0.0.1:60062  
2024-11-10 12:19:27,605 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 12:19:27,618 INFO  DataLinksLogger Channel2: Initing => Inited   
2024-11-10 12:19:27,618 INFO  DataLinksLogger ModbusTCPServer: Init => Initing   
2024-11-10 12:19:27,632 INFO  DataLinksLogger ModbusTCPServer: Initing=>Inited  
2024-11-10 12:19:27,632 INFO  DataLinksLogger FreedomServer: Init => Initing   
2024-11-10 12:19:27,633 INFO  DataLinksLogger FreedomServer: Initing=>Inited  
2024-11-10 12:19:27,633 INFO  DataLinksLogger AlarmServer: Init => Initing   
2024-11-10 12:19:27,636 INFO  DataLinksLogger AlarmServer: Initing=>Inited  
2024-11-10 12:19:27,636 INFO  DataLinksLogger Record01: Init => Initing   
2024-11-10 12:19:27,636 INFO  DataLinksLogger Record01: Initing=>Inited  
2024-11-10 12:19:27,636 INFO  DataLinksLogger Channel2: Start => Starting   
2024-11-10 12:19:27,637 INFO  DataLinksLogger Channel2.Device1: Start=>Starting   
2024-11-10 12:19:27,638 INFO  DataLinksLogger Channel2.Device1: Starting=>Started   
2024-11-10 12:19:27,638 INFO  DataLinksLogger ModbusTCPServer: Start=>Starting   
2024-11-10 12:19:27,639 INFO  DataLinksLogger ModbusTCPServer: Starting=>Started   
2024-11-10 12:19:27,639 INFO  DataLinksLogger FreedomServer: Start=>Starting   
2024-11-10 12:19:27,639 INFO  DataLinksLogger FreedomServer: Starting=>Started   
2024-11-10 12:19:27,639 INFO  DataLinksLogger AlarmServer: Start=>Starting   
2024-11-10 12:19:27,640 INFO  DataLinksLogger AlarmServer: Starting=>Started   
2024-11-10 12:19:27,640 INFO  DataLinksLogger Record01: Start=>Starting   
2024-11-10 12:19:27,640 INFO  DataLinksLogger Record01: Starting=>Started   
2024-11-10 12:19:27,780 INFO  DataLinksLogger SignalServer: Server running on http://localhost:3051  
2024-11-10 12:19:46,562 INFO  DataLinksLogger Channel2: Init => Initing   
2024-11-10 12:19:46,574 INFO  DataLinksLogger Channel2: Initing => Inited   
